algorithm,k,ARI_mean,ARI_std,eps,threshold,min_samples,preprocessing,Stability Score
K-Means,2.0,1.0,0.0,,,,raw,
K-Means,3.0,0.9837,0.01,,,,raw,
K-Means,4.0,0.9927,0.0065,,,,raw,
K-Means,5.0,0.9945,0.0034,,,,raw,
K-Means,6.0,0.9205,0.0584,,,,raw,
K-Means,7.0,0.9291,0.0429,,,,raw,
K-Means,8.0,0.7914,0.0814,,,,raw,
GMM,2.0,0.6822,0.3129,,,,raw,
GMM,3.0,0.7223,0.238,,,,raw,
GMM,4.0,0.4774,0.1806,,,,raw,
GMM,5.0,0.467,0.0818,,,,raw,
GMM,6.0,0.6826,0.1506,,,,raw,
GMM,7.0,0.5041,0.0625,,,,raw,
GMM,8.0,0.627,0.1327,,,,raw,
Agglomerative,2.0,0.6186,0.2075,,,,raw,
Agglomerative,3.0,0.4324,0.2169,,,,raw,
Agglomerative,4.0,0.6851,0.1272,,,,raw,
Agglomerative,5.0,0.7453,0.0502,,,,raw,
Agglomerative,6.0,0.6556,0.0705,,,,raw,
Agglomerative,7.0,0.7214,0.0401,,,,raw,
Agglomerative,8.0,0.7454,0.0598,,,,raw,
Spectral,2.0,0.3126,0.4076,,,,raw,
Spectral,3.0,0.4838,0.3337,,,,raw,
Spectral,4.0,0.8152,0.2073,,,,raw,
Spectral,5.0,0.8105,0.1884,,,,raw,
Spectral,6.0,0.6539,0.2051,,,,raw,
Spectral,7.0,0.7867,0.1479,,,,raw,
Spectral,8.0,0.8477,0.1084,,,,raw,
DBSCAN,,0.8854,0.0552,0.5,,,raw,
DBSCAN,,0.9979,0.0014,1.0,,,raw,
DBSCAN,,0.4,0.4899,1.5,,,raw,
BIRCH,,0.9354,0.0093,,0.2,,raw,
BIRCH,,0.6367,0.0249,,0.5,,raw,
BIRCH,,0.7118,0.0462,,1.0,,raw,
BIRCH,,0.5705,0.0518,,1.5,,raw,
OPTICS,,0.8364,0.0224,,,3.0,raw,
OPTICS,,0.9329,0.0231,,,5.0,raw,
OPTICS,,0.9882,0.0143,,,10.0,raw,
OPTICS,,0.9951,0.0143,,,20.0,raw,
K-Means,2.0,0.9885,0.0084,,,,scaled,0.9832
K-Means,3.0,0.9177,0.1801,,,,scaled,0.6397999999999999
K-Means,4.0,0.9577,0.0474,,,,scaled,0.9052
K-Means,5.0,0.8226,0.1384,,,,scaled,0.7232000000000001
K-Means,6.0,0.7693,0.0947,,,,scaled,0.8106
K-Means,7.0,0.7143,0.1304,,,,scaled,0.7392000000000001
K-Means,8.0,0.6651,0.0793,,,,scaled,0.8414
GMM,2.0,0.9265,0.1731,,,,scaled,0.6537999999999999
GMM,3.0,0.4896,0.2452,,,,scaled,0.5096
GMM,4.0,0.5419,0.1714,,,,scaled,0.6572
GMM,5.0,0.5431,0.1433,,,,scaled,0.7134
GMM,6.0,0.4982,0.1025,,,,scaled,0.795
GMM,7.0,0.4558,0.0901,,,,scaled,0.8198
GMM,8.0,0.4999,0.0629,,,,scaled,0.8742
Agglomerative,2.0,0.8061,0.0559,,,,scaled,0.8882
Agglomerative,3.0,0.5424,0.1743,,,,scaled,0.6514
Agglomerative,4.0,0.6714,0.1023,,,,scaled,0.7954
Agglomerative,5.0,0.5948,0.0745,,,,scaled,0.851
Agglomerative,6.0,0.5897,0.0761,,,,scaled,0.8478
Agglomerative,7.0,0.5941,0.0662,,,,scaled,0.8676
Agglomerative,8.0,0.5857,0.0627,,,,scaled,0.8746
Spectral,2.0,0.7271,0.2982,,,,scaled,0.4035999999999999
Spectral,3.0,0.9491,0.0692,,,,scaled,0.8616
Spectral,4.0,0.8993,0.0357,,,,scaled,0.9286
Spectral,5.0,0.8958,0.0623,,,,scaled,0.8754
Spectral,6.0,0.9011,0.0851,,,,scaled,0.8298
Spectral,7.0,0.8799,0.1108,,,,scaled,0.7784
Spectral,8.0,0.5947,0.1238,,,,scaled,0.7524
DBSCAN,,1.0,0.0,1.0,,,scaled,1.0
DBSCAN,,0.9899,0.0642,1.5,,,scaled,0.8716
BIRCH,,0.9987,0.0018,,0.2,,scaled,0.9964
BIRCH,,0.9948,0.0036,,0.5,,scaled,0.9928
BIRCH,,0.96,0.0075,,1.0,,scaled,0.985
BIRCH,,0.7962,0.0173,,1.5,,scaled,0.9654
OPTICS,,0.8465,0.0412,,,3.0,scaled,0.9176
OPTICS,,0.9464,0.0399,,,5.0,scaled,0.9202
OPTICS,,0.991,0.0525,,,10.0,scaled,0.895
K-Means,2.0,0.9889,0.0084,,,,PCA,0.9832
K-Means,3.0,0.9269,0.1722,,,,PCA,0.6556
K-Means,4.0,0.9635,0.0282,,,,PCA,0.9436
K-Means,5.0,0.8447,0.1423,,,,PCA,0.7154
K-Means,6.0,0.7677,0.1005,,,,PCA,0.7989999999999999
K-Means,7.0,0.6959,0.0993,,,,PCA,0.8014
K-Means,8.0,0.7279,0.103,,,,PCA,0.794
GMM,2.0,0.9889,0.0097,,,,PCA,0.9806
GMM,3.0,0.8337,0.2127,,,,PCA,0.5746
GMM,4.0,0.5298,0.1602,,,,PCA,0.6796
GMM,5.0,0.399,0.1023,,,,PCA,0.7954
GMM,6.0,0.4955,0.1067,,,,PCA,0.7866
GMM,7.0,0.4448,0.0981,,,,PCA,0.8038
GMM,8.0,0.4512,0.1018,,,,PCA,0.7964
Agglomerative,2.0,0.7972,0.0626,,,,PCA,0.8748
Agglomerative,3.0,0.5475,0.1705,,,,PCA,0.659
Agglomerative,4.0,0.6438,0.1036,,,,PCA,0.7928
Agglomerative,5.0,0.5694,0.0911,,,,PCA,0.8178
Agglomerative,6.0,0.5391,0.0542,,,,PCA,0.8916
Agglomerative,7.0,0.5562,0.0542,,,,PCA,0.8916
Agglomerative,8.0,0.5598,0.0618,,,,PCA,0.8764
Spectral,2.0,0.7482,0.2973,,,,PCA,0.4054
Spectral,3.0,0.9563,0.0651,,,,PCA,0.8698
Spectral,4.0,0.9379,0.0309,,,,PCA,0.9382
Spectral,5.0,0.9137,0.0573,,,,PCA,0.8854
Spectral,6.0,0.9098,0.0423,,,,PCA,0.9154
Spectral,7.0,0.8758,0.1158,,,,PCA,0.7684
Spectral,8.0,0.6585,0.141,,,,PCA,0.718
DBSCAN,,1.0,0.0,1.0,,,PCA,1.0
DBSCAN,,0.993,0.04,1.5,,,PCA,0.92
BIRCH,,0.9986,0.0019,,0.2,,PCA,0.9962
BIRCH,,0.994,0.0039,,0.5,,PCA,0.9922
BIRCH,,0.9493,0.0093,,1.0,,PCA,0.9814
BIRCH,,0.7658,0.0135,,1.5,,PCA,0.973
OPTICS,,0.8576,0.0348,,,3.0,PCA,0.9304
OPTICS,,0.9524,0.0382,,,5.0,PCA,0.9236
OPTICS,,0.9905,0.0569,,,10.0,PCA,0.8862
K-Means,2.0,0.9841,0.0087,,,,outliers,0.9826
K-Means,3.0,0.8624,0.2349,,,,outliers,0.5302
K-Means,4.0,0.9525,0.0562,,,,outliers,0.8876
K-Means,5.0,0.8061,0.1427,,,,outliers,0.7146
K-Means,6.0,0.7364,0.0812,,,,outliers,0.8376
K-Means,7.0,0.7404,0.1068,,,,outliers,0.7864
K-Means,8.0,0.7634,0.1005,,,,outliers,0.7989999999999999
GMM,2.0,0.8637,0.2599,,,,outliers,0.4801999999999999
GMM,3.0,0.4228,0.1831,,,,outliers,0.6337999999999999
GMM,4.0,0.4391,0.2217,,,,outliers,0.5566
GMM,5.0,0.437,0.1511,,,,outliers,0.6978
GMM,6.0,0.603,0.117,,,,outliers,0.766
GMM,7.0,0.5423,0.0913,,,,outliers,0.8174
