algorithm,k,ARI_mean,ARI_std,eps,threshold,min_samples,Stability Score
K-Means,2.0,0.9841,0.0087,,,,0.9826
K-Means,3.0,0.8624,0.2349,,,,0.5302
K-Means,4.0,0.9525,0.0562,,,,0.8876
K-Means,5.0,0.8061,0.1427,,,,0.7146
K-Means,6.0,0.7364,0.0812,,,,0.8376
K-Means,7.0,0.7404,0.1068,,,,0.7864
K-Means,8.0,0.7634,0.1005,,,,0.7989999999999999
GMM,2.0,0.8637,0.2599,,,,0.48019999999999996
GMM,3.0,0.4228,0.1831,,,,0.6337999999999999
GMM,4.0,0.4391,0.2217,,,,0.5566
GMM,5.0,0.437,0.1511,,,,0.6978
GMM,6.0,0.603,0.117,,,,0.766
GMM,7.0,0.5423,0.0913,,,,0.8174
GMM,8.0,0.5873,0.1072,,,,0.7856
Agglomerative,2.0,0.8821,0.0423,,,,0.9154
Agglomerative,3.0,0.5032,0.1394,,,,0.7212000000000001
Agglomerative,4.0,0.6328,0.0916,,,,0.8168
Agglomerative,5.0,0.5772,0.082,,,,0.836
Agglomerative,6.0,0.5522,0.0713,,,,0.8573999999999999
Agglomerative,7.0,0.5652,0.0557,,,,0.8886000000000001
Agglomerative,8.0,0.5716,0.0556,,,,0.8888
Spectral,2.0,0.6213,0.3183,,,,0.36339999999999995
Spectral,3.0,0.9538,0.0635,,,,0.873
Spectral,4.0,0.9166,0.0553,,,,0.8894
Spectral,5.0,0.9025,0.0576,,,,0.8848
Spectral,6.0,0.9011,0.0742,,,,0.8516
Spectral,7.0,0.8815,0.1079,,,,0.7842
Spectral,8.0,0.8126,0.1672,,,,0.6656
DBSCAN,,1.0,0.0,1.0,,,1.0
DBSCAN,,0.9964,0.0357,1.5,,,0.9286
BIRCH,,0.9987,0.0017,,0.2,,0.9966
BIRCH,,0.9944,0.0032,,0.5,,0.9936
BIRCH,,0.9617,0.0069,,1.0,,0.9862
BIRCH,,0.8002,0.0155,,1.5,,0.969
OPTICS,,0.846,0.0376,,,3.0,0.9248
OPTICS,,0.9384,0.0339,,,5.0,0.9322
OPTICS,,1.0,0.0,,,10.0,1.0
