algorithm,k,ARI_mean,ARI_std,eps,threshold,min_samples,Stability Score
K-Means,2.0,0.9889,0.0084,,,,0.9832
K-Means,3.0,0.9269,0.1722,,,,0.6556
K-Means,4.0,0.9635,0.0282,,,,0.9436
K-Means,5.0,0.8447,0.1423,,,,0.7154
K-Means,6.0,0.7677,0.1005,,,,0.7989999999999999
K-Means,7.0,0.6959,0.0993,,,,0.8014
K-Means,8.0,0.7279,0.103,,,,0.794
GMM,2.0,0.9889,0.0097,,,,0.9806
GMM,3.0,0.8337,0.2127,,,,0.5746
GMM,4.0,0.5298,0.1602,,,,0.6796
GMM,5.0,0.399,0.1023,,,,0.7954
GMM,6.0,0.4955,0.1067,,,,0.7866
GMM,7.0,0.4448,0.0981,,,,0.8038
GMM,8.0,0.4512,0.1018,,,,0.7964
Agglomerative,2.0,0.7972,0.0626,,,,0.8748
Agglomerative,3.0,0.5475,0.1705,,,,0.659
Agglomerative,4.0,0.6438,0.1036,,,,0.7928
Agglomerative,5.0,0.5694,0.0911,,,,0.8178
Agglomerative,6.0,0.5391,0.0542,,,,0.8916
Agglomerative,7.0,0.5562,0.0542,,,,0.8916
Agglomerative,8.0,0.5598,0.0618,,,,0.8764
Spectral,2.0,0.7482,0.2973,,,,0.4054
Spectral,3.0,0.9563,0.0651,,,,0.8698
Spectral,4.0,0.9379,0.0309,,,,0.9382
Spectral,5.0,0.9137,0.0573,,,,0.8854
Spectral,6.0,0.9098,0.0423,,,,0.9154
Spectral,7.0,0.8758,0.1158,,,,0.7684
Spectral,8.0,0.6585,0.141,,,,0.718
DBSCAN,,1.0,0.0,1.0,,,1.0
DBSCAN,,0.993,0.04,1.5,,,0.92
BIRCH,,0.9986,0.0019,,0.2,,0.9962
BIRCH,,0.994,0.0039,,0.5,,0.9922
BIRCH,,0.9493,0.0093,,1.0,,0.9814
BIRCH,,0.7658,0.0135,,1.5,,0.973
OPTICS,,0.8576,0.0348,,,3.0,0.9304
OPTICS,,0.9524,0.0382,,,5.0,0.9236
OPTICS,,0.9905,0.0569,,,10.0,0.8862
