algorithm,k,ARI_mean,ARI_std,eps,threshold,min_samples,Stability Score
K-Means,2.0,0.9844,0.0082,,,,0.9836
K-Means,3.0,0.8512,0.2431,,,,0.5138
K-Means,4.0,0.9588,0.0455,,,,0.909
K-Means,5.0,0.8222,0.1391,,,,0.7218
K-Means,6.0,0.6561,0.0786,,,,0.8428
K-Means,7.0,0.7464,0.1068,,,,0.7864
K-Means,8.0,0.5445,0.0783,,,,0.8434
GMM,2.0,0.9943,0.0082,,,,0.9836
GMM,3.0,0.8055,0.2339,,,,0.5322
GMM,4.0,0.5052,0.1718,,,,0.6564
GMM,5.0,0.5481,0.1335,,,,0.733
GMM,6.0,0.4538,0.1131,,,,0.7738
GMM,7.0,0.4408,0.0843,,,,0.8314
GMM,8.0,0.3714,0.0629,,,,0.8742
Agglomerative,2.0,0.8894,0.0403,,,,0.9194
Agglomerative,3.0,0.7648,0.221,,,,0.558
Agglomerative,4.0,0.6289,0.0778,,,,0.8444
Agglomerative,5.0,0.5703,0.0654,,,,0.8692
Agglomerative,6.0,0.565,0.0809,,,,0.8382000000000001
Agglomerative,7.0,0.5551,0.077,,,,0.846
Agglomerative,8.0,0.5398,0.0501,,,,0.8998
Spectral,2.0,0.6854,0.3275,,,,0.345
Spectral,3.0,0.9441,0.0988,,,,0.8024
Spectral,4.0,0.9351,0.0396,,,,0.9208
Spectral,5.0,0.929,0.0338,,,,0.9324
Spectral,6.0,0.9011,0.0902,,,,0.8196
Spectral,7.0,0.8317,0.1546,,,,0.6908000000000001
Spectral,8.0,0.7078,0.157,,,,0.6859999999999999
DBSCAN,,1.0,0.0,1.0,,,1.0
DBSCAN,,0.9973,0.0264,1.5,,,0.9472
BIRCH,,0.9986,0.0018,,0.2,,0.9964
BIRCH,,0.9934,0.0034,,0.5,,0.9932
BIRCH,,0.9494,0.0073,,1.0,,0.9854
BIRCH,,0.7624,0.0158,,1.5,,0.9684
OPTICS,,0.8679,0.0341,,,3.0,0.9318
OPTICS,,0.9567,0.0297,,,5.0,0.9406
OPTICS,,0.9997,0.0031,,,10.0,0.9938
