algorithm,k,ARI_mean,ARI_std,eps,threshold,min_samples,Stability Score
K-Means,2.0,1.0,0.0,,,,1.0
K-Means,3.0,0.9837,0.01,,,,0.98
K-Means,4.0,0.9927,0.0065,,,,0.987
K-Means,5.0,0.9945,0.0034,,,,0.9932
K-Means,6.0,0.9205,0.0584,,,,0.8832
K-Means,7.0,0.9291,0.0429,,,,0.9142
K-Means,8.0,0.7914,0.0814,,,,0.8371999999999999
GMM,2.0,0.6822,0.3129,,,,0.3742
GMM,3.0,0.7223,0.238,,,,0.524
GMM,4.0,0.4774,0.1806,,,,0.6388
GMM,5.0,0.467,0.0818,,,,0.8364
GMM,6.0,0.6826,0.1506,,,,0.6988
GMM,7.0,0.5041,0.0625,,,,0.875
GMM,8.0,0.627,0.1327,,,,0.7345999999999999
Agglomerative,2.0,0.6186,0.2075,,,,0.585
Agglomerative,3.0,0.4324,0.2169,,,,0.5662
Agglomerative,4.0,0.6851,0.1272,,,,0.7456
Agglomerative,5.0,0.7453,0.0502,,,,0.8996
Agglomerative,6.0,0.6556,0.0705,,,,0.859
Agglomerative,7.0,0.7214,0.0401,,,,0.9198
Agglomerative,8.0,0.7454,0.0598,,,,0.8804
Spectral,2.0,0.3126,0.4076,,,,0.18479999999999996
Spectral,3.0,0.4838,0.3337,,,,0.3326
Spectral,4.0,0.8152,0.2073,,,,0.5853999999999999
Spectral,5.0,0.8105,0.1884,,,,0.6232
Spectral,6.0,0.6539,0.2051,,,,0.5898
Spectral,7.0,0.7867,0.1479,,,,0.7041999999999999
Spectral,8.0,0.8477,0.1084,,,,0.7832
DBSCAN,,0.8854,0.0552,0.5,,,0.8896
DBSCAN,,0.9979,0.0014,1.0,,,0.9972
DBSCAN,,0.4,0.4899,1.5,,,0.020199999999999996
BIRCH,,0.9354,0.0093,,0.2,,0.9814
BIRCH,,0.6367,0.0249,,0.5,,0.9502
BIRCH,,0.7118,0.0462,,1.0,,0.9076
BIRCH,,0.5705,0.0518,,1.5,,0.8964
OPTICS,,0.8364,0.0224,,,3.0,0.9552
OPTICS,,0.9329,0.0231,,,5.0,0.9538
OPTICS,,0.9882,0.0143,,,10.0,0.9714
OPTICS,,0.9951,0.0143,,,20.0,0.9714
