algorithm,k,ARI_mean,ARI_std,eps,threshold,min_samples,Stability Score
K-Means,2.0,0.9885,0.0084,,,,0.9832
K-Means,3.0,0.9177,0.1801,,,,0.6397999999999999
K-Means,4.0,0.9577,0.0474,,,,0.9052
K-Means,5.0,0.8226,0.1384,,,,0.7232000000000001
K-Means,6.0,0.7693,0.0947,,,,0.8106
K-Means,7.0,0.7143,0.1304,,,,0.7392000000000001
K-Means,8.0,0.6651,0.0793,,,,0.8414
GMM,2.0,0.9265,0.1731,,,,0.6537999999999999
GMM,3.0,0.4896,0.2452,,,,0.5096
GMM,4.0,0.5419,0.1714,,,,0.6572
GMM,5.0,0.5431,0.1433,,,,0.7134
GMM,6.0,0.4982,0.1025,,,,0.795
GMM,7.0,0.4558,0.0901,,,,0.8198
GMM,8.0,0.4999,0.0629,,,,0.8742
Agglomerative,2.0,0.8061,0.0559,,,,0.8882
Agglomerative,3.0,0.5424,0.1743,,,,0.6514
Agglomerative,4.0,0.6714,0.1023,,,,0.7954
Agglomerative,5.0,0.5948,0.0745,,,,0.851
Agglomerative,6.0,0.5897,0.0761,,,,0.8478
Agglomerative,7.0,0.5941,0.0662,,,,0.8676
Agglomerative,8.0,0.5857,0.0627,,,,0.8746
Spectral,2.0,0.7271,0.2982,,,,0.40359999999999996
Spectral,3.0,0.9491,0.0692,,,,0.8616
Spectral,4.0,0.8993,0.0357,,,,0.9286
Spectral,5.0,0.8958,0.0623,,,,0.8754
Spectral,6.0,0.9011,0.0851,,,,0.8298
Spectral,7.0,0.8799,0.1108,,,,0.7784
Spectral,8.0,0.5947,0.1238,,,,0.7524
DBSCAN,,1.0,0.0,1.0,,,1.0
DBSCAN,,0.9899,0.0642,1.5,,,0.8716
BIRCH,,0.9987,0.0018,,0.2,,0.9964
BIRCH,,0.9948,0.0036,,0.5,,0.9928
BIRCH,,0.96,0.0075,,1.0,,0.985
BIRCH,,0.7962,0.0173,,1.5,,0.9654
OPTICS,,0.8465,0.0412,,,3.0,0.9176
OPTICS,,0.9464,0.0399,,,5.0,0.9202
OPTICS,,0.991,0.0525,,,10.0,0.895
