algorithm,k,ARI_mean,ARI_std,min_samples,Stability Score,preprocessing,threshold,eps
K-Means,2.0,0.9688,0.0451,,0.9098,raw,,
K-Means,3.0,0.8486,0.1868,,0.6264000000000001,raw,,
K-Means,4.0,0.8599,0.1275,,0.745,raw,,
K-Means,5.0,0.8444,0.097,,0.806,raw,,
K-Means,6.0,0.6849,0.2161,,0.5678000000000001,raw,,
K-Means,7.0,0.7663,0.1679,,0.6642,raw,,
K-Means,8.0,0.7514,0.1312,,0.7376,raw,,
GMM,2.0,0.892,0.1399,,0.7202,raw,,
GMM,3.0,0.7878,0.1951,,0.6098,raw,,
GMM,4.0,0.5582,0.1472,,0.7056,raw,,
GMM,5.0,0.6134,0.1264,,0.7472,raw,,
GMM,6.0,0.3799,0.0703,,0.8593999999999999,raw,,
GMM,7.0,0.388,0.0614,,0.8772,raw,,
GMM,8.0,0.3317,0.0606,,0.8788,raw,,
Agglomerative,2.0,0.6887,0.1928,,0.6144000000000001,raw,,
Agglomerative,3.0,0.4641,0.2162,,0.5676,raw,,
Agglomerative,4.0,0.6287,0.1967,,0.6066,raw,,
Agglomerative,5.0,0.7466,0.1798,,0.6404000000000001,raw,,
Agglomerative,6.0,0.7089,0.1685,,0.663,raw,,
Agglomerative,7.0,0.6257,0.1436,,0.7128,raw,,
Agglomerative,8.0,0.6184,0.1357,,0.7286,raw,,
Spectral,2.0,0.7754,0.2619,,0.4761999999999999,raw,,
Spectral,3.0,0.7905,0.1342,,0.7316,raw,,
Spectral,4.0,0.8679,0.12,,0.76,raw,,
Spectral,5.0,0.7002,0.1354,,0.7292000000000001,raw,,
Spectral,6.0,0.7258,0.1215,,0.757,raw,,
Spectral,7.0,0.6625,0.1238,,0.7524,raw,,
Spectral,8.0,0.7324,0.1247,,0.7505999999999999,raw,,
OPTICS,,0.8294,0.0439,3.0,0.9122,raw,,
OPTICS,,0.9254,0.0449,5.0,0.9102,raw,,
OPTICS,,0.9293,0.0645,10.0,0.871,raw,,
OPTICS,,0.9984,0.0125,20.0,0.975,raw,,
K-Means,2.0,0.9588,0.0442,,0.9116,scaled,,
K-Means,3.0,0.8854,0.0884,,0.8231999999999999,scaled,,
K-Means,4.0,0.7541,0.1773,,0.6454,scaled,,
K-Means,5.0,0.6607,0.1445,,0.7110000000000001,scaled,,
K-Means,6.0,0.5163,0.1371,,0.7258,scaled,,
K-Means,7.0,0.6167,0.119,,0.762,scaled,,
K-Means,8.0,0.5814,0.1049,,0.7902,scaled,,
GMM,2.0,0.9237,0.0697,,0.8606,scaled,,
GMM,3.0,0.8295,0.1186,,0.7628,scaled,,
