algorithm,k,ARI_mean,ARI_std,min_samples,Stability Score
K-Means,2.0,0.9848,0.0187,,0.9626
K-Means,3.0,0.7519,0.1864,,0.6272
K-Means,4.0,0.8169,0.1169,,0.7662
K-Means,5.0,0.6925,0.1433,,0.7134
K-Means,6.0,0.5813,0.0997,,0.8006
K-Means,7.0,0.6339,0.139,,0.722
K-Means,8.0,0.6591,0.1198,,0.7604
GMM,2.0,0.9503,0.0431,,0.9138
GMM,3.0,0.5753,0.1244,,0.7512
GMM,4.0,0.5084,0.1324,,0.7352000000000001
GMM,5.0,0.5097,0.1094,,0.7812
GMM,6.0,0.512,0.0862,,0.8276
GMM,7.0,0.4786,0.1018,,0.7964
GMM,8.0,0.4595,0.0763,,0.8473999999999999
Agglomerative,2.0,0.7499,0.115,,0.77
Agglomerative,3.0,0.6137,0.1979,,0.6042000000000001
Agglomerative,4.0,0.4785,0.1189,,0.7622
Agglomerative,5.0,0.3814,0.061,,0.878
Agglomerative,6.0,0.3689,0.0603,,0.8794
Agglomerative,7.0,0.3787,0.0531,,0.8938
Agglomerative,8.0,0.3785,0.0562,,0.8876
Spectral,2.0,0.9192,0.0603,,0.8794
Spectral,3.0,0.6403,0.1691,,0.6617999999999999
Spectral,4.0,0.6309,0.1587,,0.6826
Spectral,5.0,0.6064,0.1362,,0.7276
Spectral,6.0,0.5461,0.1194,,0.7612
Spectral,7.0,0.528,0.0898,,0.8204
Spectral,8.0,0.526,0.0865,,0.827
OPTICS,,0.8588,0.0986,3.0,0.8028
OPTICS,,0.9219,0.1936,5.0,0.6128
