algorithm,k,ARI_mean,ARI_std,eps,threshold,min_samples,Stability Score
K-Means,2.0,0.9593,0.045,,,,0.91
K-Means,3.0,0.8855,0.0897,,,,0.8206
K-Means,4.0,0.7422,0.1867,,,,0.6266
K-Means,5.0,0.6616,0.1455,,,,0.7090000000000001
K-Means,6.0,0.7018,0.141,,,,0.718
K-Means,7.0,0.6182,0.1288,,,,0.7424
K-Means,8.0,0.5863,0.1134,,,,0.7732
GMM,2.0,0.9437,0.0547,,,,0.8906000000000001
GMM,3.0,0.8235,0.076,,,,0.848
GMM,4.0,0.714,0.094,,,,0.812
GMM,5.0,0.6271,0.0874,,,,0.8251999999999999
GMM,6.0,0.6009,0.0789,,,,0.8422000000000001
GMM,7.0,0.5606,0.0936,,,,0.8128
GMM,8.0,0.564,0.0932,,,,0.8136
Agglomerative,2.0,0.8159,0.086,,,,0.8280000000000001
Agglomerative,3.0,0.7677,0.0963,,,,0.8074
Agglomerative,4.0,0.7436,0.1305,,,,0.739
Agglomerative,5.0,0.6538,0.1754,,,,0.6492
Agglomerative,6.0,0.5089,0.0917,,,,0.8166
Agglomerative,7.0,0.4984,0.0981,,,,0.8038
Agglomerative,8.0,0.4768,0.0869,,,,0.8262
Spectral,2.0,0.9359,0.0337,,,,0.9326
Spectral,3.0,0.6081,0.1728,,,,0.6544
Spectral,4.0,0.6051,0.1324,,,,0.7352000000000001
Spectral,5.0,0.5874,0.1223,,,,0.7554
Spectral,6.0,0.5623,0.1193,,,,0.7614
Spectral,7.0,0.5645,0.0877,,,,0.8246
Spectral,8.0,0.564,0.0749,,,,0.8502000000000001
DBSCAN,,0.3131,0.3483,1.5,,,0.3034
BIRCH,,0.9916,0.0068,,0.5,,0.9864
BIRCH,,0.6918,0.0324,,1.0,,0.9352
BIRCH,,0.4527,0.0378,,1.5,,0.9244
OPTICS,,0.8396,0.0889,,,3.0,0.8222
OPTICS,,0.9158,0.1267,,,5.0,0.7465999999999999
OPTICS,,0.9286,0.2575,,,10.0,0.485
