algorithm,k,ARI_mean,ARI_std,eps,threshold,min_samples,Stability Score
K-Means,2.0,0.9846,0.0204,,,,0.9592
K-Means,3.0,0.7503,0.2089,,,,0.5822
K-Means,4.0,0.8268,0.1024,,,,0.7952
K-Means,5.0,0.6865,0.1462,,,,0.7076
K-Means,6.0,0.5912,0.1198,,,,0.7604
K-Means,7.0,0.6233,0.1242,,,,0.7516
K-Means,8.0,0.6691,0.1059,,,,0.7882
GMM,2.0,0.932,0.0589,,,,0.8822
GMM,3.0,0.7695,0.083,,,,0.834
GMM,4.0,0.6051,0.1065,,,,0.787
GMM,5.0,0.5535,0.0898,,,,0.8204
GMM,6.0,0.4061,0.0584,,,,0.8832
GMM,7.0,0.4028,0.053,,,,0.894
GMM,8.0,0.4097,0.0498,,,,0.9004
Agglomerative,2.0,0.7244,0.1118,,,,0.7764
Agglomerative,3.0,0.4141,0.1179,,,,0.7642
Agglomerative,4.0,0.4547,0.1128,,,,0.7744
Agglomerative,5.0,0.4715,0.0954,,,,0.8092
Agglomerative,6.0,0.4608,0.0828,,,,0.8344
Agglomerative,7.0,0.4344,0.076,,,,0.848
Agglomerative,8.0,0.4199,0.0697,,,,0.8606
Spectral,2.0,0.8987,0.0838,,,,0.8324
Spectral,3.0,0.6666,0.1883,,,,0.6234
Spectral,4.0,0.6322,0.1447,,,,0.7106
Spectral,5.0,0.5714,0.1213,,,,0.7574
Spectral,6.0,0.4851,0.0929,,,,0.8142
Spectral,7.0,0.4935,0.0902,,,,0.8196
Spectral,8.0,0.5157,0.0911,,,,0.8178
DBSCAN,,0.928,0.2482,1.5,,,0.5036
BIRCH,,0.9994,0.0018,,0.5,,0.9964
BIRCH,,0.8355,0.0333,,1.0,,0.9334
BIRCH,,0.5559,0.0395,,1.5,,0.921
OPTICS,,0.8772,0.075,,,3.0,0.85
OPTICS,,0.9624,0.1057,,,5.0,0.7886
