algorithm,k,ARI_mean,ARI_std,min_samples,Stability Score
K-Means,2.0,0.9688,0.0451,,0.9097999999999999
K-Means,3.0,0.8486,0.1868,,0.6264000000000001
K-Means,4.0,0.8599,0.1275,,0.745
K-Means,5.0,0.8444,0.097,,0.806
K-Means,6.0,0.6849,0.2161,,0.5678000000000001
K-Means,7.0,0.7663,0.1679,,0.6642
K-Means,8.0,0.7514,0.1312,,0.7376
GMM,2.0,0.892,0.1399,,0.7202
GMM,3.0,0.7878,0.1951,,0.6098
GMM,4.0,0.5582,0.1472,,0.7056
GMM,5.0,0.6134,0.1264,,0.7472
GMM,6.0,0.3799,0.0703,,0.8593999999999999
GMM,7.0,0.388,0.0614,,0.8772
GMM,8.0,0.3317,0.0606,,0.8788
Agglomerative,2.0,0.6887,0.1928,,0.6144000000000001
Agglomerative,3.0,0.4641,0.2162,,0.5676
Agglomerative,4.0,0.6287,0.1967,,0.6066
Agglomerative,5.0,0.7466,0.1798,,0.6404000000000001
Agglomerative,6.0,0.7089,0.1685,,0.663
Agglomerative,7.0,0.6257,0.1436,,0.7128
Agglomerative,8.0,0.6184,0.1357,,0.7286
Spectral,2.0,0.7754,0.2619,,0.47619999999999996
Spectral,3.0,0.7905,0.1342,,0.7316
Spectral,4.0,0.8679,0.12,,0.76
Spectral,5.0,0.7002,0.1354,,0.7292000000000001
Spectral,6.0,0.7258,0.1215,,0.757
Spectral,7.0,0.6625,0.1238,,0.7524
Spectral,8.0,0.7324,0.1247,,0.7505999999999999
OPTICS,,0.8294,0.0439,3.0,0.9122
OPTICS,,0.9254,0.0449,5.0,0.9102
OPTICS,,0.9293,0.0645,10.0,0.871
OPTICS,,0.9984,0.0125,20.0,0.975
