algorithm,k,ARI_mean,ARI_std,threshold,min_samples,Stability Score
K-Means,2.0,0.9588,0.0442,,,0.9116
K-Means,3.0,0.8854,0.0884,,,0.8231999999999999
K-Means,4.0,0.7541,0.1773,,,0.6454
K-Means,5.0,0.6607,0.1445,,,0.7110000000000001
K-Means,6.0,0.5163,0.1371,,,0.7258
K-Means,7.0,0.6167,0.119,,,0.762
K-Means,8.0,0.5814,0.1049,,,0.7902
GMM,2.0,0.9237,0.0697,,,0.8606
GMM,3.0,0.8295,0.1186,,,0.7628
GMM,4.0,0.6343,0.1394,,,0.7212000000000001
GMM,5.0,0.5585,0.1024,,,0.7952
GMM,6.0,0.5327,0.1011,,,0.7978000000000001
GMM,7.0,0.514,0.1275,,,0.745
GMM,8.0,0.503,0.0881,,,0.8238
Agglomerative,2.0,0.8325,0.1066,,,0.7867999999999999
Agglomerative,3.0,0.7614,0.1164,,,0.7672
Agglomerative,4.0,0.7341,0.155,,,0.69
Agglomerative,5.0,0.4633,0.0769,,,0.8462000000000001
Agglomerative,6.0,0.4848,0.0891,,,0.8218
Agglomerative,7.0,0.4871,0.0972,,,0.8056
Agglomerative,8.0,0.4715,0.0947,,,0.8106
Spectral,2.0,0.9682,0.0217,,,0.9566
Spectral,3.0,0.6474,0.1775,,,0.645
Spectral,4.0,0.6038,0.1391,,,0.7218
Spectral,5.0,0.6052,0.1269,,,0.7462
Spectral,6.0,0.5826,0.121,,,0.758
Spectral,7.0,0.5565,0.09,,,0.8200000000000001
Spectral,8.0,0.5491,0.0771,,,0.8458
BIRCH,,0.7864,0.0298,1.0,,0.9404
BIRCH,,0.4825,0.0329,1.5,,0.9342
OPTICS,,0.8934,0.0922,,3.0,0.8156
OPTICS,,0.908,0.2792,,10.0,0.4416
