algorithm,preprocessing,k,ARI_mean,ARI_std,stability_score,n_bootstrap,eps,threshold,min_samples
K-Means,raw,2.0,0.9979,0.0016,0.9964,100,,,
K-Means,raw,3.0,0.986,0.0117,0.9742,100,,,
K-Means,raw,4.0,0.9738,0.0111,0.9627,100,,,
K-Means,raw,5.0,0.9702,0.0187,0.9515,100,,,
K-Means,raw,6.0,0.8811,0.1754,0.7058,100,,,
K-Means,raw,7.0,0.9757,0.0118,0.9639,100,,,
K-Means,raw,8.0,0.9715,0.0154,0.9561,100,,,
GMM,raw,2.0,0.9897,0.0032,0.9865,100,,,
GMM,raw,3.0,0.9818,0.0064,0.9754,100,,,
GMM,raw,4.0,0.9688,0.0141,0.9547,100,,,
GMM,raw,5.0,0.8258,0.1706,0.6552,100,,,
GMM,raw,6.0,0.8802,0.0812,0.799,100,,,
GMM,raw,7.0,0.6954,0.1391,0.5563,100,,,
GMM,raw,8.0,0.8795,0.0499,0.8297,100,,,
Agglomerative,raw,2.0,0.708,0.125,0.583,100,,,
Agglomerative,raw,3.0,0.4832,0.1207,0.3625,100,,,
Agglomerative,raw,4.0,0.5324,0.0945,0.4379,100,,,
Agglomerative,raw,5.0,0.5377,0.083,0.4547,100,,,
Agglomerative,raw,6.0,0.5306,0.0838,0.4468,100,,,
Agglomerative,raw,7.0,0.5044,0.07,0.4344,100,,,
Agglomerative,raw,8.0,0.4985,0.0635,0.435,100,,,
Spectral,raw,2.0,0.9463,0.0287,0.9176,100,,,
Spectral,raw,3.0,0.9224,0.0354,0.887,100,,,
Spectral,raw,4.0,0.6151,0.1799,0.4352,100,,,
Spectral,raw,5.0,0.7965,0.116,0.6806,100,,,
Spectral,raw,6.0,0.771,0.0782,0.6928,100,,,
Spectral,raw,7.0,0.7501,0.1389,0.6112,100,,,
Spectral,raw,8.0,0.8331,0.0518,0.7813,100,,,
DBSCAN,raw,,0.0189,0.0062,0.0126,100,0.5,,
DBSCAN,raw,,0.4579,0.0058,0.4521,100,1.0,,
DBSCAN,raw,,0.6821,0.0114,0.6707,100,1.5,,
BIRCH,raw,,0.3714,0.0036,0.3678,100,,1.5,
BIRCH,raw,,0.3718,0.0099,0.3618,100,,3.0,
BIRCH,raw,,0.4912,0.0254,0.4658,100,,5.0,
BIRCH,raw,,0.5543,0.052,0.5023,100,,10.0,
OPTICS,raw,,0.1405,0.0142,0.1263,100,,,3.0
OPTICS,raw,,0.1725,0.0195,0.153,100,,,5.0
OPTICS,raw,,0.0827,0.0249,0.0577,100,,,10.0
OPTICS,raw,,0.0258,0.0652,-0.0395,100,,,20.0
K-Means,,2.0,0.9944,0.003,,100,,,
K-Means,,3.0,0.9733,0.0156,,100,,,
K-Means,,4.0,0.8895,0.0609,,100,,,
K-Means,,5.0,0.8137,0.0868,,100,,,
K-Means,,6.0,0.6779,0.1381,,100,,,
K-Means,,7.0,0.5593,0.1559,,100,,,
K-Means,,8.0,0.5212,0.1246,,100,,,
GMM,,2.0,0.9887,0.0035,,100,,,
GMM,,3.0,0.9829,0.0045,,100,,,
GMM,,4.0,0.6483,0.1565,,100,,,
GMM,,5.0,0.4699,0.1155,,100,,,
GMM,,6.0,0.652,0.172,,100,,,
GMM,,7.0,0.4807,0.0894,,100,,,
GMM,,8.0,0.6052,0.0955,,100,,,
Agglomerative,,2.0,0.4748,0.0578,,100,,,
Agglomerative,,3.0,0.3455,0.0594,,100,,,
Agglomerative,,4.0,0.2932,0.038,,100,,,
Agglomerative,,5.0,0.267,0.0393,,100,,,
Agglomerative,,6.0,0.2095,0.0253,,100,,,
Agglomerative,,7.0,0.2023,0.0233,,100,,,
Agglomerative,,8.0,0.2024,0.0238,,100,,,
Spectral,,2.0,0.877,0.1264,,100,,,
Spectral,,3.0,0.7416,0.1371,,100,,,
Spectral,,4.0,0.5668,0.0774,,100,,,
Spectral,,5.0,0.5216,0.0873,,100,,,
Spectral,,6.0,0.4296,0.0818,,100,,,
Spectral,,7.0,0.4159,0.0629,,100,,,
Spectral,,8.0,0.3645,0.0531,,100,,,
DBSCAN,,,0.4627,0.006,,100,0.5,,
DBSCAN,,,0.5094,0.0304,,100,1.0,,
BIRCH,,,0.1746,0.0054,,100,,1.5,
OPTICS,,,0.1429,0.0131,,100,,,3.0
OPTICS,,,0.0948,0.0198,,100,,,5.0
K-Means,PCA,2.0,0.9951,0.0022,0.9929,100,,,
K-Means,PCA,3.0,0.9707,0.0171,0.9536,100,,,
K-Means,PCA,4.0,0.8783,0.0611,0.8172,100,,,
K-Means,PCA,5.0,0.7749,0.1005,0.6744,100,,,
K-Means,PCA,6.0,0.6681,0.1312,0.5369,100,,,
K-Means,PCA,7.0,0.5774,0.1514,0.426,100,,,
K-Means,PCA,8.0,0.5356,0.1372,0.3984,100,,,
GMM,PCA,2.0,0.9903,0.003,0.9872,100,,,
GMM,PCA,3.0,0.9818,0.0053,0.9765,100,,,
GMM,PCA,4.0,0.7051,0.0994,0.6057,100,,,
GMM,PCA,5.0,0.4385,0.1069,0.3316,100,,,
GMM,PCA,6.0,0.6581,0.1024,0.5556,100,,,
GMM,PCA,7.0,0.5553,0.1002,0.4551,100,,,
GMM,PCA,8.0,0.5626,0.0749,0.4877,100,,,
Agglomerative,PCA,2.0,0.456,0.1146,0.3414,100,,,
Agglomerative,PCA,3.0,0.3033,0.0532,0.2501,100,,,
Agglomerative,PCA,4.0,0.287,0.0453,0.2417,100,,,
Agglomerative,PCA,5.0,0.2822,0.0531,0.2291,100,,,
Agglomerative,PCA,6.0,0.2408,0.0429,0.1979,100,,,
Agglomerative,PCA,7.0,0.2077,0.0245,0.1832,100,,,
Agglomerative,PCA,8.0,0.2148,0.0239,0.1909,100,,,
Spectral,PCA,2.0,0.8898,0.0909,0.7988,100,,,
Spectral,PCA,3.0,0.7522,0.1162,0.636,100,,,
Spectral,PCA,4.0,0.5232,0.0983,0.4249,100,,,
Spectral,PCA,5.0,0.4413,0.0714,0.3699,100,,,
Spectral,PCA,6.0,0.4111,0.0774,0.3337,100,,,
Spectral,PCA,7.0,0.4469,0.0894,0.3575,100,,,
Spectral,PCA,8.0,0.3928,0.072,0.3208,100,,,
DBSCAN,PCA,,0.6231,0.005,0.6182,100,0.5,,
DBSCAN,PCA,,0.5052,0.0383,0.4668,100,1.0,,
BIRCH,PCA,,0.192,0.0072,0.1849,100,,1.5,
OPTICS,PCA,,0.1433,0.0138,0.1295,100,,,3.0
OPTICS,PCA,,0.1245,0.021,0.1035,100,,,5.0
OPTICS,PCA,,0.0672,0.0594,0.0078,100,,,10.0
K-Means,OutliersRemoval,2.0,0.9939,0.0036,0.9903,100,,,
K-Means,OutliersRemoval,3.0,0.9761,0.0137,0.9624,100,,,
K-Means,OutliersRemoval,4.0,0.8932,0.0586,0.8347,100,,,
K-Means,OutliersRemoval,5.0,0.8051,0.0582,0.7469,100,,,
K-Means,OutliersRemoval,6.0,0.7231,0.1359,0.5872,100,,,
K-Means,OutliersRemoval,7.0,0.5898,0.2023,0.3875,100,,,
K-Means,OutliersRemoval,8.0,0.4591,0.1284,0.3307,100,,,
Agglomerative,OutliersRemoval,2.0,0.4903,0.1096,0.3807,100,,,
Agglomerative,OutliersRemoval,3.0,0.315,0.0634,0.2516,100,,,
Agglomerative,OutliersRemoval,4.0,0.2857,0.0446,0.2411,100,,,
Agglomerative,OutliersRemoval,5.0,0.2692,0.0592,0.21,100,,,
Agglomerative,OutliersRemoval,6.0,0.2063,0.0301,0.1762,100,,,
Agglomerative,OutliersRemoval,7.0,0.2125,0.0259,0.1866,100,,,
