algorithm,preprocessing,k,ARI_mean,ARI_std,stability_score,n_bootstrap,eps,threshold,min_samples
K-Means,OutliersRemoval,2.0,0.9939,0.0036,0.9903,100,,,
K-Means,OutliersRemoval,3.0,0.9761,0.0137,0.9624,100,,,
K-Means,OutliersRemoval,4.0,0.8932,0.0586,0.8347,100,,,
K-Means,OutliersRemoval,5.0,0.8051,0.0582,0.7469,100,,,
K-Means,OutliersRemoval,6.0,0.7231,0.1359,0.5872,100,,,
K-Means,OutliersRemoval,7.0,0.5898,0.2023,0.3875,100,,,
K-Means,OutliersRemoval,8.0,0.4591,0.1284,0.3307,100,,,
Agglomerative,OutliersRemoval,2.0,0.4903,0.1096,0.3807,100,,,
Agglomerative,OutliersRemoval,3.0,0.315,0.0634,0.2516,100,,,
Agglomerative,OutliersRemoval,4.0,0.2857,0.0446,0.2411,100,,,
Agglomerative,OutliersRemoval,5.0,0.2692,0.0592,0.21,100,,,
Agglomerative,OutliersRemoval,6.0,0.2063,0.0301,0.1762,100,,,
Agglomerative,OutliersRemoval,7.0,0.2125,0.0259,0.1866,100,,,
Agglomerative,OutliersRemoval,8.0,0.217,0.0249,0.1921,100,,,
Spectral,OutliersRemoval,2.0,0.8848,0.0909,0.7939,100,,,
Spectral,OutliersRemoval,3.0,0.7355,0.1327,0.6028,100,,,
Spectral,OutliersRemoval,4.0,0.5572,0.0789,0.4783,100,,,
Spectral,OutliersRemoval,5.0,0.4985,0.0754,0.4231,100,,,
Spectral,OutliersRemoval,6.0,0.4379,0.0828,0.3551,100,,,
Spectral,OutliersRemoval,7.0,0.4312,0.0673,0.364,100,,,
Spectral,OutliersRemoval,8.0,0.361,0.0579,0.3031,100,,,
DBSCAN,OutliersRemoval,,0.4627,0.0056,0.4571,100,0.5,,
DBSCAN,OutliersRemoval,,0.4467,0.0288,0.4179,100,1.0,,
BIRCH,OutliersRemoval,,0.1785,0.0052,0.1732,100,,1.5,
OPTICS,OutliersRemoval,,0.1402,0.0141,0.1261,100,,,3.0
OPTICS,OutliersRemoval,,0.0925,0.0185,0.074,100,,,5.0
GMM,OutliersRemoval,2.0,0.9882,0.0043,0.9839,100,,,
GMM,OutliersRemoval,3.0,0.9833,0.0034,0.9798,100,,,
GMM,OutliersRemoval,4.0,0.6634,0.1122,0.5512,100,,,
GMM,OutliersRemoval,5.0,0.509,0.2293,0.2798,100,,,
GMM,OutliersRemoval,6.0,0.6977,0.1546,0.5432,100,,,
GMM,OutliersRemoval,7.0,0.5106,0.0819,0.4287,100,,,
GMM,OutliersRemoval,8.0,0.4751,0.0738,0.4013,100,,,
