algorithm,preprocessing,k,ARI_mean,ARI_std,stability_score,n_bootstrap,eps,threshold,min_samples
K-Means,PCA,2.0,0.9951,0.0022,0.9929,100,,,
K-Means,PCA,3.0,0.9707,0.0171,0.9536,100,,,
K-Means,PCA,4.0,0.8783,0.0611,0.8172,100,,,
K-Means,PCA,5.0,0.7749,0.1005,0.6744,100,,,
K-Means,PCA,6.0,0.6681,0.1312,0.5369,100,,,
K-Means,PCA,7.0,0.5774,0.1514,0.426,100,,,
K-Means,PCA,8.0,0.5356,0.1372,0.3984,100,,,
GMM,PCA,2.0,0.9903,0.003,0.9872,100,,,
GMM,PCA,3.0,0.9818,0.0053,0.9765,100,,,
GMM,PCA,4.0,0.7051,0.0994,0.6057,100,,,
GMM,PCA,5.0,0.4385,0.1069,0.3316,100,,,
GMM,PCA,6.0,0.6581,0.1024,0.5556,100,,,
GMM,PCA,7.0,0.5553,0.1002,0.4551,100,,,
GMM,PCA,8.0,0.5626,0.0749,0.4877,100,,,
Agglomerative,PCA,2.0,0.456,0.1146,0.3414,100,,,
Agglomerative,PCA,3.0,0.3033,0.0532,0.2501,100,,,
Agglomerative,PCA,4.0,0.287,0.0453,0.2417,100,,,
Agglomerative,PCA,5.0,0.2822,0.0531,0.2291,100,,,
Agglomerative,PCA,6.0,0.2408,0.0429,0.1979,100,,,
Agglomerative,PCA,7.0,0.2077,0.0245,0.1832,100,,,
Agglomerative,PCA,8.0,0.2148,0.0239,0.1909,100,,,
Spectral,PCA,2.0,0.8898,0.0909,0.7988,100,,,
Spectral,PCA,3.0,0.7522,0.1162,0.636,100,,,
Spectral,PCA,4.0,0.5232,0.0983,0.4249,100,,,
Spectral,PCA,5.0,0.4413,0.0714,0.3699,100,,,
Spectral,PCA,6.0,0.4111,0.0774,0.3337,100,,,
Spectral,PCA,7.0,0.4469,0.0894,0.3575,100,,,
Spectral,PCA,8.0,0.3928,0.072,0.3208,100,,,
DBSCAN,PCA,,0.6231,0.005,0.6182,100,0.5,,
DBSCAN,PCA,,0.5052,0.0383,0.4668,100,1.0,,
BIRCH,PCA,,0.192,0.0072,0.1849,100,,1.5,
OPTICS,PCA,,0.1433,0.0138,0.1295,100,,,3.0
OPTICS,PCA,,0.1245,0.021,0.1035,100,,,5.0
OPTICS,PCA,,0.0672,0.0594,0.0078,100,,,10.0
