algorithm,preprocessing,k,ARI_mean,ARI_std,stability_score,n_bootstrap,eps,threshold,min_samples
K-Means,PCA+Outliers,2.0,0.9947,0.0025,0.9921,100,,,
K-Means,PCA+Outliers,3.0,0.973,0.0109,0.9621,100,,,
K-Means,PCA+Outliers,4.0,0.867,0.0652,0.8019,100,,,
K-Means,PCA+Outliers,5.0,0.8061,0.0583,0.7478,100,,,
K-Means,PCA+Outliers,6.0,0.6814,0.1344,0.5469,100,,,
K-Means,PCA+Outliers,7.0,0.5181,0.1567,0.3614,100,,,
K-Means,PCA+Outliers,8.0,0.5181,0.1336,0.3845,100,,,
Agglomerative,PCA+Outliers,2.0,0.4122,0.0735,0.3387,100,,,
Agglomerative,PCA+Outliers,3.0,0.3105,0.0601,0.2504,100,,,
Agglomerative,PCA+Outliers,4.0,0.2821,0.0375,0.2446,100,,,
Agglomerative,PCA+Outliers,5.0,0.2541,0.0524,0.2017,100,,,
Agglomerative,PCA+Outliers,6.0,0.2033,0.0274,0.176,100,,,
Agglomerative,PCA+Outliers,7.0,0.2109,0.0285,0.1824,100,,,
Agglomerative,PCA+Outliers,8.0,0.2156,0.0289,0.1868,100,,,
Spectral,PCA+Outliers,2.0,0.8918,0.0911,0.8007,100,,,
Spectral,PCA+Outliers,3.0,0.7509,0.1136,0.6373,100,,,
Spectral,PCA+Outliers,4.0,0.5153,0.0904,0.4249,100,,,
Spectral,PCA+Outliers,5.0,0.435,0.0874,0.3476,100,,,
Spectral,PCA+Outliers,6.0,0.4268,0.0836,0.3433,100,,,
Spectral,PCA+Outliers,7.0,0.4456,0.072,0.3735,100,,,
Spectral,PCA+Outliers,8.0,0.3748,0.0642,0.3105,100,,,
DBSCAN,PCA+Outliers,,0.6136,0.0054,0.6082,100,0.5,,
DBSCAN,PCA+Outliers,,0.4649,0.0471,0.4178,100,1.0,,
BIRCH,PCA+Outliers,,0.1965,0.0075,0.1889,100,,1.5,
GMM,PCA+Outliers,2.0,0.9896,0.0035,0.9861,100,,,
GMM,PCA+Outliers,3.0,0.9811,0.0052,0.9759,100,,,
GMM,PCA+Outliers,4.0,0.6887,0.1153,0.5735,100,,,
GMM,PCA+Outliers,5.0,0.5579,0.2115,0.3464,100,,,
GMM,PCA+Outliers,6.0,0.6376,0.1008,0.5368,100,,,
GMM,PCA+Outliers,7.0,0.5749,0.0896,0.4853,100,,,
GMM,PCA+Outliers,8.0,0.5115,0.0676,0.4439,100,,,
OPTICS,PCA+Outliers,,0.1405,0.014,0.1265,100,,,3.0
OPTICS,PCA+Outliers,,0.1228,0.0226,0.1001,100,,,5.0
OPTICS,PCA+Outliers,,0.0693,0.0579,0.0113,100,,,10.0
