algorithm,preprocessing,k,ARI_mean,ARI_std,stability_score,n_bootstrap,eps,threshold,min_samples
K-Means,raw,2.0,0.9979,0.0016,0.9964,100,,,
K-Means,raw,3.0,0.986,0.0117,0.9742,100,,,
K-Means,raw,4.0,0.9738,0.0111,0.9627,100,,,
K-Means,raw,5.0,0.9702,0.0187,0.9515,100,,,
K-Means,raw,6.0,0.8811,0.1754,0.7058,100,,,
K-Means,raw,7.0,0.9757,0.0118,0.9639,100,,,
K-Means,raw,8.0,0.9715,0.0154,0.9561,100,,,
GMM,raw,2.0,0.9897,0.0032,0.9865,100,,,
GMM,raw,3.0,0.9818,0.0064,0.9754,100,,,
GMM,raw,4.0,0.9688,0.0141,0.9547,100,,,
GMM,raw,5.0,0.8258,0.1706,0.6552,100,,,
GMM,raw,6.0,0.8802,0.0812,0.799,100,,,
GMM,raw,7.0,0.6954,0.1391,0.5563,100,,,
GMM,raw,8.0,0.8795,0.0499,0.8297,100,,,
Agglomerative,raw,2.0,0.708,0.125,0.583,100,,,
Agglomerative,raw,3.0,0.4832,0.1207,0.3625,100,,,
Agglomerative,raw,4.0,0.5324,0.0945,0.4379,100,,,
Agglomerative,raw,5.0,0.5377,0.083,0.4547,100,,,
Agglomerative,raw,6.0,0.5306,0.0838,0.4468,100,,,
Agglomerative,raw,7.0,0.5044,0.07,0.4344,100,,,
Agglomerative,raw,8.0,0.4985,0.0635,0.435,100,,,
Spectral,raw,2.0,0.9463,0.0287,0.9176,100,,,
Spectral,raw,3.0,0.9224,0.0354,0.887,100,,,
Spectral,raw,4.0,0.6151,0.1799,0.4352,100,,,
Spectral,raw,5.0,0.7965,0.116,0.6806,100,,,
Spectral,raw,6.0,0.771,0.0782,0.6928,100,,,
Spectral,raw,7.0,0.7501,0.1389,0.6112,100,,,
Spectral,raw,8.0,0.8331,0.0518,0.7813,100,,,
DBSCAN,raw,,0.0189,0.0062,0.0126,100,0.5,,
DBSCAN,raw,,0.4579,0.0058,0.4521,100,1.0,,
DBSCAN,raw,,0.6821,0.0114,0.6707,100,1.5,,
BIRCH,raw,,0.3714,0.0036,0.3678,100,,1.5,
BIRCH,raw,,0.3718,0.0099,0.3618,100,,3.0,
BIRCH,raw,,0.4912,0.0254,0.4658,100,,5.0,
BIRCH,raw,,0.5543,0.052,0.5023,100,,10.0,
OPTICS,raw,,0.1405,0.0142,0.1263,100,,,3.0
OPTICS,raw,,0.1725,0.0195,0.153,100,,,5.0
OPTICS,raw,,0.0827,0.0249,0.0577,100,,,10.0
OPTICS,raw,,0.0258,0.0652,-0.0395,100,,,20.0
