algorithm,k,ARI_mean,ARI_std,n_bootstrap,eps,threshold,min_samples
K-Means,2.0,0.9944,0.003,100,,,
K-Means,3.0,0.9733,0.0156,100,,,
K-Means,4.0,0.8895,0.0609,100,,,
K-Means,5.0,0.8137,0.0868,100,,,
K-Means,6.0,0.6779,0.1381,100,,,
K-Means,7.0,0.5593,0.1559,100,,,
K-Means,8.0,0.5212,0.1246,100,,,
GMM,2.0,0.9887,0.0035,100,,,
GMM,3.0,0.9829,0.0045,100,,,
GMM,4.0,0.6483,0.1565,100,,,
GMM,5.0,0.4699,0.1155,100,,,
GMM,6.0,0.652,0.172,100,,,
GMM,7.0,0.4807,0.0894,100,,,
GMM,8.0,0.6052,0.0955,100,,,
Agglomerative,2.0,0.4748,0.0578,100,,,
Agglomerative,3.0,0.3455,0.0594,100,,,
Agglomerative,4.0,0.2932,0.038,100,,,
Agglomerative,5.0,0.267,0.0393,100,,,
Agglomerative,6.0,0.2095,0.0253,100,,,
Agglomerative,7.0,0.2023,0.0233,100,,,
Agglomerative,8.0,0.2024,0.0238,100,,,
Spectral,2.0,0.877,0.1264,100,,,
Spectral,3.0,0.7416,0.1371,100,,,
Spectral,4.0,0.5668,0.0774,100,,,
Spectral,5.0,0.5216,0.0873,100,,,
Spectral,6.0,0.4296,0.0818,100,,,
Spectral,7.0,0.4159,0.0629,100,,,
Spectral,8.0,0.3645,0.0531,100,,,
DBSCAN,,0.4627,0.006,100,0.5,,
DBSCAN,,0.5094,0.0304,100,1.0,,
BIRCH,,0.1746,0.0054,100,,1.5,
OPTICS,,0.1429,0.0131,100,,,3.0
OPTICS,,0.0948,0.0198,100,,,5.0
