algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,OutlierRemoval,2.0,,,,,0.1941490699430448,1.922555871637164,699.020702770539
KMeans,OutlierRemoval,3.0,,,,,0.16435531059719,2.1066875655791875,474.0940258061069
KMeans,OutlierRemoval,4.0,,,,,0.1199976049304504,2.5455370804287925,398.1093978202826
KMeans,OutlierRemoval,5.0,,,,,0.116661868338729,2.345875503946066,338.9365459688661
KMeans,OutlierRemoval,6.0,,,,,0.1066440892439011,2.432750344733295,299.72876551614274
KMeans,OutlierRemoval,7.0,,,,,0.1023867541524048,2.3911716705802752,273.7391526651889
KMeans,OutlierRemoval,8.0,,,,,0.1075422733840082,2.325188563196857,253.01415872865948
GMM,OutlierRemoval,2.0,,,,,0.1836671067164912,1.960133098157208,641.1882872117698
GMM,OutlierRemoval,3.0,,,,,0.1081112612430812,3.804985559660647,333.61865957684864
GMM,OutlierRemoval,4.0,,,,,0.0453942594240706,3.10726090078544,188.393699536683
GMM,OutlierRemoval,5.0,,,,,0.0242292417784289,3.476117044478613,160.49337765353894
GMM,OutlierRemoval,6.0,,,,,0.0891953590616284,3.067366543450205,252.9741897717244
GMM,OutlierRemoval,7.0,,,,,0.0823026746282977,2.990657722617519,210.4069596008569
GMM,OutlierRemoval,8.0,,,,,0.0808137326091656,2.859974592347782,203.2893059628209
Agglomerative,OutlierRemoval,2.0,,,,,0.1848275614196134,1.9720022859552095,655.2025304378707
Agglomerative,OutlierRemoval,3.0,,,,,0.1164318351852158,2.695225910953343,419.914989506032
Agglomerative,OutlierRemoval,4.0,,,,,0.0871078965873118,2.786333184884133,339.3963378102917
Agglomerative,OutlierRemoval,5.0,,,,,0.0913690572772643,2.551501826816561,294.96436102992686
Agglomerative,OutlierRemoval,6.0,,,,,0.0886440671883743,2.6312536062044924,260.446197169245
Agglomerative,OutlierRemoval,7.0,,,,,0.0910775694491525,2.5317024068648237,237.7004513111976
Agglomerative,OutlierRemoval,8.0,,,,,0.0877700478398338,2.5305168667330173,219.93581340979668
Spectral,OutlierRemoval,2.0,,,,,0.1151245907386961,2.0948170101177683,325.07879782619864
Spectral,OutlierRemoval,3.0,,,,,0.1560981168482067,2.087820908588844,452.32286771905024
Spectral,OutlierRemoval,4.0,,,,,0.0823487959304774,2.097422922317201,324.2018393289802
Spectral,OutlierRemoval,5.0,,,,,0.0724737641413793,1.9888543270414956,270.4347975040471
Spectral,OutlierRemoval,6.0,,,,,0.0735476778263617,1.9124515361795045,234.5793042511625
