algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,PCA+Outliers,2,,,,,0.36266847811604996,1.1878777150937183,288.7061855824124
KMeans,PCA+Outliers,3,,,,,0.2842598113065467,1.443067895332841,201.40619579453366
KMeans,PCA+Outliers,4,,,,,0.2000071420797953,1.706918200168528,171.01634268390748
KMeans,PCA+Outliers,5,,,,,0.17601042415745877,1.6038115520277756,148.2326759152314
KMeans,PCA+Outliers,6,,,,,0.16853915796545332,1.7017137352811338,131.36035339177485
KMeans,PCA+Outliers,7,,,,,0.15860926707105952,1.569999961897336,122.34555996465585
KMeans,PCA+Outliers,8,,,,,0.151533856089984,1.6079846315201676,114.46889017958165
GMM,PCA+Outliers,2,,,,,0.3344647022471912,1.2758411649020838,265.206484495148
GMM,PCA+Outliers,3,,,,,0.1749300649858116,2.0501872701215684,156.3642924195364
GMM,PCA+Outliers,4,,,,,0.16237844974712617,1.9759329755666597,139.19370220275556
GMM,PCA+Outliers,5,,,,,0.11176825711622737,2.282892523887452,104.61940910925956
GMM,PCA+Outliers,6,,,,,0.06810484792506154,2.3124043237398744,97.51024552601184
GMM,PCA+Outliers,7,,,,,0.07365668442500005,2.1507824543160767,92.51412030212717
GMM,PCA+Outliers,8,,,,,0.07962959301671296,2.08825554866993,87.50395368673362
Agglomerative,PCA+Outliers,2,,,,,0.3593161522760481,1.1975040407253172,271.15401448996283
Agglomerative,PCA+Outliers,3,,,,,0.14888920345300882,1.8217708097372043,174.85967259848215
Agglomerative,PCA+Outliers,4,,,,,0.13850160176539805,1.8380611204397663,147.7186143549958
Agglomerative,PCA+Outliers,5,,,,,0.12960028623602407,1.8770740557444416,127.82145231022454
Agglomerative,PCA+Outliers,6,,,,,0.1269823184674216,1.9800617649617276,113.2433907941127
Agglomerative,PCA+Outliers,7,,,,,0.10854201863556269,1.9772032448736372,102.81932483569898
Agglomerative,PCA+Outliers,8,,,,,0.08772652322347446,1.9323658944036735,94.31785435715075
Spectral,PCA+Outliers,2,,,,,0.3642922740292111,1.1624121517136607,278.6844574044838
Spectral,PCA+Outliers,3,,,,,0.27866764168924135,1.4616701762879785,194.4797598085147
Spectral,PCA+Outliers,4,,,,,0.16804268083504242,1.7166602365440098,160.03046802633875
Spectral,PCA+Outliers,5,,,,,0.14634877990379921,1.6214375494059006,135.64853282177566
Spectral,PCA+Outliers,6,,,,,0.1315942896659933,1.634278965706523,117.52685720048925
Spectral,PCA+Outliers,7,,,,,0.1370191284476165,1.5730782593656671,111.96012327567648
Spectral,PCA+Outliers,8,,,,,0.13910439483104167,1.5755162705204564,107.33919645866246
DBSCAN,PCA+Outliers,,1.5,,,,0.341748410747006,0.9780966262655086,7.676578285460724
BIRCH,PCA+Outliers,,,,0.5,494,0.0006426766052498277,0.14765228739528458,36.90424414729569
BIRCH,PCA+Outliers,,,,1.0,416,0.023263225278701286,0.45878934024048407,17.343237827492906
BIRCH,PCA+Outliers,,,,1.5,301,0.022263726991318997,0.7264061526102694,14.357746035544869
OPTICS,PCA+Outliers,,,3,,24,-0.34580697758822204,1.6452133465551395,3.3481631606900883
OPTICS,PCA+Outliers,,,5,,4,-0.3564729992367339,1.7214363587745223,3.9514226085713857
