algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,OutlierRemoval,2.0,,,,,0.3513363143583823,1.2324743967229037,270.37929041503594
KMeans,OutlierRemoval,3.0,,,,,0.2626464779851518,1.5390890434529256,187.0566197468891
KMeans,OutlierRemoval,4.0,,,,,0.1896107690121617,1.785966871152844,157.72106297810964
KMeans,OutlierRemoval,5.0,,,,,0.1651015802207548,1.6732919819342098,136.05227103114348
KMeans,OutlierRemoval,6.0,,,,,0.1631090943992647,1.7398192613670087,120.49250290966152
KMeans,OutlierRemoval,7.0,,,,,0.1477283779158227,1.651058085594807,111.79027325672536
KMeans,OutlierRemoval,8.0,,,,,0.1398250863914251,1.6963048108283274,103.52195787625357
GMM,OutlierRemoval,2.0,,,,,0.3243759160906855,1.3222013252540692,247.9067806641607
GMM,OutlierRemoval,3.0,,,,,0.1217775000196693,2.1181848967951717,148.54207194339662
GMM,OutlierRemoval,4.0,,,,,0.0859696313267847,2.231480021906438,125.84807577509432
GMM,OutlierRemoval,5.0,,,,,0.1374985267346337,1.9322369524629444,118.35765164525836
GMM,OutlierRemoval,6.0,,,,,0.1315128508282257,1.899448272376884,108.3242230294288
GMM,OutlierRemoval,7.0,,,,,0.147895555151477,1.817397270818235,99.66656032039946
GMM,OutlierRemoval,8.0,,,,,0.1337951259797578,1.8000496400853925,92.25848267503451
Agglomerative,OutlierRemoval,2.0,,,,,0.3405246699728406,1.2566930614284737,257.2669612223158
Agglomerative,OutlierRemoval,3.0,,,,,0.2815377332672249,1.496145650306983,169.0263898041513
Agglomerative,OutlierRemoval,4.0,,,,,0.2119544891366323,1.920953457706784,135.35828132231129
Agglomerative,OutlierRemoval,5.0,,,,,0.1055924197521448,2.1521045954134634,113.74147340566805
Agglomerative,OutlierRemoval,6.0,,,,,0.1073567552455216,2.0174409011474093,101.14108135442967
Agglomerative,OutlierRemoval,7.0,,,,,0.1161304033378161,1.8962523815015,92.5264894673855
Agglomerative,OutlierRemoval,8.0,,,,,0.112060392037413,1.829422089813872,86.50826744211042
Spectral,OutlierRemoval,2.0,,,,,0.3352863978104295,1.265537858844542,255.2617645844246
Spectral,OutlierRemoval,3.0,,,,,0.2554904570626884,1.5385862584811576,181.82061398959505
Spectral,OutlierRemoval,4.0,,,,,0.1545696550193516,1.7964941160152754,147.78433587801936
Spectral,OutlierRemoval,5.0,,,,,0.1325901658558902,1.705604061029359,124.33742746592372
Spectral,OutlierRemoval,6.0,,,,,0.1182655501187023,1.6146411962508609,108.22256208616412
Spectral,OutlierRemoval,7.0,,,,,0.1280474094288478,1.6940077812204857,103.8919901285515
Spectral,OutlierRemoval,8.0,,,,,0.1277514915380786,1.6407045607889517,98.00112986959584
OPTICS,OutliersRemoval,,,3.0,,20.0,-0.3498993400449834,1.6046234688925414,3.425710339626726
OPTICS,OutliersRemoval,,,5.0,,3.0,-0.3258374438600512,2.0785036112912305,4.242400925892126
KMeans,PCA+Outliers,2.0,,,,,0.3626684781160499,1.1878777150937183,288.7061855824124
KMeans,PCA+Outliers,3.0,,,,,0.2842598113065467,1.443067895332841,201.4061957945337
KMeans,PCA+Outliers,4.0,,,,,0.2000071420797953,1.706918200168528,171.01634268390748
KMeans,PCA+Outliers,5.0,,,,,0.1760104241574587,1.6038115520277756,148.2326759152314
KMeans,PCA+Outliers,6.0,,,,,0.1685391579654533,1.7017137352811338,131.36035339177485
KMeans,PCA+Outliers,7.0,,,,,0.1586092670710595,1.569999961897336,122.34555996465583
KMeans,PCA+Outliers,8.0,,,,,0.151533856089984,1.6079846315201676,114.46889017958163
GMM,PCA+Outliers,2.0,,,,,0.3344647022471912,1.2758411649020838,265.206484495148
GMM,PCA+Outliers,3.0,,,,,0.1749300649858116,2.0501872701215684,156.3642924195364
GMM,PCA+Outliers,4.0,,,,,0.1623784497471261,1.97593297556666,139.19370220275556
GMM,PCA+Outliers,5.0,,,,,0.1117682571162273,2.282892523887452,104.61940910925956
GMM,PCA+Outliers,6.0,,,,,0.0681048479250615,2.3124043237398744,97.51024552601184
GMM,PCA+Outliers,7.0,,,,,0.073656684425,2.1507824543160767,92.51412030212715
