algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,OutlierRemoval,2,,,,,0.22446629284959302,1.6542540350206294,32162.307906576887
KMeans,OutlierRemoval,3,,,,,0.15069322991990186,2.159242522471049,21855.34649503001
KMeans,OutlierRemoval,4,,,,,0.1399030592526122,1.9935602233767042,17691.85354406902
KMeans,OutlierRemoval,5,,,,,0.11822433918481184,2.14754588856237,15574.009291745091
KMeans,OutlierRemoval,6,,,,,0.11770301710491314,2.008474840321895,14098.031367365886
KMeans,OutlierRemoval,7,,,,,0.11569819105141774,1.9696402635143626,12915.184144723144
KMeans,OutlierRemoval,8,,,,,0.11242694783848844,1.8697962666015873,12069.603109621585
GMM,OutlierRemoval,2,,,,,0.213275094820054,1.7087163864495134,29992.733882073077
GMM,OutlierRemoval,3,,,,,0.1455130448267848,2.1405786419092476,20653.865874306488
GMM,OutlierRemoval,4,,,,,0.11080696835731549,2.4218881995573116,16079.211052063314
GMM,OutlierRemoval,5,,,,,0.10076277672192928,2.392782499042754,14094.653576238961
GMM,OutlierRemoval,6,,,,,0.047222490288846564,9.162419993435043,8615.97039385978
GMM,OutlierRemoval,7,,,,,0.03083960346055055,10.175555995279,7234.127151043063
GMM,OutlierRemoval,8,,,,,0.018156793716944515,6.464533819129061,6548.040561448804
Agglomerative,OutlierRemoval,2,,,,,0.18085665797648942,1.8040193072600803,1195.6885500809562
Agglomerative,OutlierRemoval,3,,,,,0.10114030220992218,2.0751518093073167,811.1447343461089
Agglomerative,OutlierRemoval,4,,,,,0.07499180364788248,2.560748069733024,665.0134583123121
Agglomerative,OutlierRemoval,5,,,,,0.07777188124790738,2.390393822569774,586.462323719154
Agglomerative,OutlierRemoval,6,,,,,0.05880501405691931,2.4501101555438236,533.8284061686163
Agglomerative,OutlierRemoval,7,,,,,0.05633595092096418,2.4001209415929634,491.67950723671674
Agglomerative,OutlierRemoval,8,,,,,0.05261734227998752,2.359010232416635,457.589628869922
Spectral,OutlierRemoval,2,,,,,0.2180115174704664,1.6675287839575352,1592.4291979179368
Spectral,OutlierRemoval,3,,,,,0.14655805852231438,2.1078674450968933,1085.25740745555
Spectral,OutlierRemoval,4,,,,,0.11849629494553429,2.136889101170479,850.8703492078721
Spectral,OutlierRemoval,5,,,,,0.10600332960789739,2.0375128368114686,716.9310167413732
Spectral,OutlierRemoval,6,,,,,0.10203149643344772,1.98700846574641,650.1700441337425
Spectral,OutlierRemoval,7,,,,,0.09907780161815145,1.9382151192050514,585.2200470567243
Spectral,OutlierRemoval,8,,,,,0.10018806693927253,1.9011829619297396,566.6960189225287
DBSCAN,OutlierRemoval,,0.5,,,,-0.2624092503428362,1.1379155775314564,15.261724925543465
DBSCAN,OutlierRemoval,,1.0,,,,-0.0007480539272315561,0.7893326693937974,8.385583495724132
BIRCH,OutliersRemoval,,,,1.5,175,0.08585527543175023,1.679251820149518,1849.978785804503
OPTICS,OutliersRemoval,,,3,,8299,-0.3462386639912592,1.2066139884818408,6.523641573647453
OPTICS,OutliersRemoval,,,5,,1871,-0.5674705143717219,1.2125270063669893,8.004475894455702
OPTICS,OutliersRemoval,,,10,,67,-0.537595767344801,1.29343525320145,12.21146835591665
