algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,PCA+Outliers,2,,,,,0.23441501639683032,1.599574722839288,34125.678075647804
KMeans,PCA+Outliers,3,,,,,0.15887717187214948,2.0771332438601116,23309.916321877783
KMeans,PCA+Outliers,4,,,,,0.14770131535778808,1.9168735061737414,18962.663095950742
KMeans,PCA+Outliers,5,,,,,0.12638536315546237,2.055091621159323,16766.712767143406
KMeans,PCA+Outliers,6,,,,,0.12637651271469694,1.9151181133198623,15242.533527407908
KMeans,PCA+Outliers,7,,,,,0.12217132405311543,1.8538317411937357,14001.561938528657
KMeans,PCA+Outliers,8,,,,,0.12194216104850501,1.7932237647437992,13162.799800364926
GMM,PCA+Outliers,2,,,,,0.23101052622747995,1.6145325907243662,33289.08607917093
GMM,PCA+Outliers,3,,,,,0.15912896755549505,2.0430653900212374,22732.513287567086
GMM,PCA+Outliers,4,,,,,0.12228196887971482,2.2988886454728474,18042.376239403948
GMM,PCA+Outliers,5,,,,,0.11518772477212223,2.2474432415399255,15794.21939297967
GMM,PCA+Outliers,6,,,,,0.05927754700314151,3.2336896816005756,11483.77433754177
GMM,PCA+Outliers,7,,,,,0.05181963357038471,3.144311456433904,9560.581532089693
GMM,PCA+Outliers,8,,,,,0.03659045372562167,3.322529478959842,8184.584145467452
Agglomerative,PCA+Outliers,2,,,,,0.1880861409993403,1.8392108554251145,1350.9581009881394
Agglomerative,PCA+Outliers,3,,,,,0.11915327498424134,2.257892745006565,873.4533230993892
Agglomerative,PCA+Outliers,4,,,,,0.0791810930868564,2.478242023665808,714.8866726206816
Agglomerative,PCA+Outliers,5,,,,,0.07132068392237015,2.438985553984098,620.8144174900696
Agglomerative,PCA+Outliers,6,,,,,0.056731366371058425,2.399378658105587,555.6350346223787
Agglomerative,PCA+Outliers,7,,,,,0.05530901059884582,2.385360196899616,514.9659033527062
Agglomerative,PCA+Outliers,8,,,,,0.0543778415618251,2.3125713844743583,478.1527321339697
Spectral,PCA+Outliers,2,,,,,0.2285611412157957,1.6082451855999806,1688.4206920236936
Spectral,PCA+Outliers,3,,,,,0.1561543024402548,2.0268028979427526,1158.9754956268011
Spectral,PCA+Outliers,4,,,,,0.12744507864903937,2.010191483352378,908.3788870889209
Spectral,PCA+Outliers,5,,,,,0.12009535181936706,1.945540646980256,772.0817731547912
Spectral,PCA+Outliers,6,,,,,0.11615214966207192,1.8925652326809361,728.4649363564308
Spectral,PCA+Outliers,7,,,,,0.11225771591668281,1.8465647472251605,653.5497983144985
Spectral,PCA+Outliers,8,,,,,0.11035862979986384,1.788312127148687,618.2935557217337
DBSCAN,PCA+Outliers,,0.5,,,,-0.5466402031798452,0.951957449472171,10.632168147780076
DBSCAN,PCA+Outliers,,1.0,,,,0.29274305530753764,0.6651790933964571,15.03659134879126
BIRCH,PCA+Outliers,,,,1.5,100,0.09858710315957564,1.5919340357009455,3130.4346473226587
OPTICS,PCA+Outliers,,,3,,7802,-0.39634291136601196,1.221225610287302,6.029815843427406
OPTICS,PCA+Outliers,,,5,,1524,-0.6201497700205201,1.2344200181235603,7.379448286337902
OPTICS,PCA+Outliers,,,10,,41,-0.5247330650796745,1.263773859305792,13.018668493876632
