algorithm,preprocessing,k,eps,min_samples,threshold,n_clusters,silhouette,davies_bouldin,calinski_harabasz
KMeans,PCA,2,,,,,0.23488282122579118,1.5971226068277928,34438.46013753258
KMeans,PCA,3,,,,,0.15930172272423707,2.0740821105480474,23529.18219564569
KMeans,PCA,4,,,,,0.14829521709779953,1.913963050010897,19122.88343445956
KMeans,PCA,5,,,,,0.1263963502462583,2.0580575017451754,16888.19762522011
KMeans,PCA,6,,,,,0.1258393650755062,1.9218222949504524,15336.347638786316
KMeans,PCA,7,,,,,0.12152148148802516,1.8602212024796638,14097.277695995836
KMeans,PCA,8,,,,,0.12117681363270223,1.7949379205441964,13222.180254346296
GMM,PCA,2,,,,,0.23147792457783406,1.6119342898078441,33590.77395230923
GMM,PCA,3,,,,,0.15947073518887567,2.0385139469645934,22944.633607491975
GMM,PCA,4,,,,,0.12330817218420918,2.292142658651746,18190.73294103228
GMM,PCA,5,,,,,0.11359781366821772,2.2780667298692903,15739.710286794092
GMM,PCA,6,,,,,0.05817906713364339,3.2889139658383315,11475.185350904645
GMM,PCA,7,,,,,0.05116961275817427,2.9325808203613373,9411.110703746874
GMM,PCA,8,,,,,0.03740559861220776,4.016342678597852,8802.580050803976
Agglomerative,PCA,2,,,,,0.18557771570237477,1.7724785166711072,1183.142718491783
Agglomerative,PCA,3,,,,,0.10018964818990717,2.297803016014201,886.7170125857318
Agglomerative,PCA,4,,,,,0.0885841966713844,2.4013577503349164,724.8386580774425
Agglomerative,PCA,5,,,,,0.05846900196330568,2.271220387982866,626.102790986626
Agglomerative,PCA,6,,,,,0.05495393616071719,2.230515209979135,558.1098352814448
Agglomerative,PCA,7,,,,,0.05018037180035574,2.3110610585300213,514.9082096309448
Agglomerative,PCA,8,,,,,0.04841998117144856,2.3335856509666906,482.52601157487896
Spectral,PCA,2,,,,,0.22907382272373275,1.6079261484002496,1702.175228095416
Spectral,PCA,3,,,,,0.15624749280863262,2.017587713045327,1167.2779867661327
Spectral,PCA,4,,,,,0.1264934104220987,2.011056175107103,913.1622527911413
Spectral,PCA,5,,,,,0.12159241375712318,1.9305608762945776,787.7985315861782
Spectral,PCA,6,,,,,0.11522539658082077,1.888627733609881,731.9572718403289
Spectral,PCA,7,,,,,0.1128435682913562,1.8384833639903864,660.8105459960965
Spectral,PCA,8,,,,,0.10902690432675823,1.7955305062365146,617.9862429475774
DBSCAN,PCA,,0.5,,,,-0.5443265801541584,0.9509598785788991,10.647310812032293
DBSCAN,PCA,,1.0,,,,0.36078110424452997,0.5965164082352128,19.76334330310593
BIRCH,PCA,,,,1.5,120,0.09731230017221033,1.5911405312935305,2792.645043305623
OPTICS,PCA,,,3,,7911,-0.3938146389102127,1.2194090970351827,6.108986248061976
OPTICS,PCA,,,5,,1564,-0.618139272039126,1.2335662134826408,7.518793816530926
OPTICS,PCA,,,10,,47,-0.5372566036934663,1.308369745567315,12.291296790971487
